"","Clade","Height","numberTipsClade","numberTipsTrimmed","numberTipsTrimmed_3.4","Labels","Forcasting_model","model1","model2","model3","model4","model5","model6","model7","model8","model9","model10"
"10",13311,39.0068153972603,489,160,489,1,"1","1","1","1","1","1","1","1","1","1","1"
"11",13312,39.053506630137,353,123,353,1,"1","1","1","1","1","1","1","1","1","1","1"
"12",13314,39.1425869041096,343,154,343,1,"1","1","1","1","1","1","1","1","1","1","1"
"13",13404,39.8535762191781,16,12,16,1,"1","1","1","1","1","1","1","1","1","1","1"
"14",13405,39.9121082739726,15,14,15,0,"1","1","1","1","1","1","1","1","1","1","1"
"15",13459,39.6134830684932,13,12,13,0,"1","1","1","0","0","1","1","1","1","1","1"
"16",13487,39.5368164931507,13,13,13,0,"0","0","0","0","0","0","0","0","0","0","0"
"17",13518,39.6413403287671,60,22,60,1,"1","1","1","1","1","1","1","1","1","1","1"
"18",13534,40.0210745753425,8,8,8,0,"1","1","1","1","1","1","0","0","1","1","1"
"19",13543,40.0786471780822,20,20,20,0,"0","0","0","0","0","0","0","0","0","0","1"
"20",13563,40.1200874520548,9,9,9,0,"0","0","0","1","0","0","0","0","1","1","0"
"21",13590,39.5149438356164,20,20,20,0,"0","1","0","1","0","1","0","0","1","0","0"
"22",13612,39.6467931506849,9,9,9,0,"1","0","1","0","0","0","0","0","1","0","1"
"23",13656,39.4842381369863,9,9,9,0,"0","0","0","0","0","0","0","0","0","0","0"
"24",13666,39.0894099178082,114,77,114,1,"1","1","1","1","1","1","1","1","1","1","1"
"25",13694,39.7024315616438,10,10,10,0,"0","0","0","0","0","0","0","0","0","0","0"
"26",13709,39.1550773150685,32,10,32,1,"1","1","1","1","1","1","1","1","1","1","1"
"27",13714,39.5188334794521,14,8,14,1,"0","0","0","0","0","0","0","0","0","0","0"
"28",13715,39.6869159452055,9,8,9,1,"1","1","1","1","1","1","1","1","1","1","1"
"29",13741,39.3303534794521,13,12,13,0,"0","0","1","0","0","0","0","0","0","0","1"
"30",13780,39.4726701917808,16,16,16,0,"1","1","1","1","0","1","1","1","1","1","1"
"31",13811,39.448613479452,10,10,10,0,"0","0","0","0","0","0","0","0","0","0","0"
"32",13827,38.7496414246575,13,9,13,1,"0","0","0","0","0","0","0","0","0","0","0"
"34",13845,38.8406178630137,148,9,148,1,"1","1","1","1","1","1","1","1","1","1","1"
"35",13846,39.3287219726027,83,79,83,0,"0","0","0","0","0","0","0","0","0","0","0"
"36",13882,39.5140241643836,10,10,10,0,"0","1","1","0","0","0","1","1","1","1","0"
"37",13928,38.9971715616438,65,41,65,1,"1","1","1","1","1","1","1","1","1","1","1"
"38",13929,39.5393085479452,53,53,53,0,"0","0","0","0","0","0","0","0","0","0","0"
"39",13981,39.1872000547945,12,12,12,0,"0","0","0","0","0","0","0","0","0","0","0"
"41",14005,39.3394269041096,27,27,27,0,"0","0","0","0","0","0","0","0","0","0","0"
"42",14041,39.3010214246575,9,9,9,0,"0","0","0","0","0","0","0","0","0","0","0"
"43",14051,39.1279951232877,8,8,8,0,"1","1","1","1","1","1","1","1","1","1","1"
"44",14071,38.767766630137,16,10,16,1,"1","1","1","1","1","1","1","1","1","1","1"
"45",14075,38.9481915616438,9,8,9,1,"0","0","0","0","0","0","0","0","0","0","0"
"46",14141,39.3879169863014,91,88,91,0,"0","0","0","0","0","0","0","0","0","0","0"
"47",14239,39.6020512328767,30,8,30,1,"0","0","0","0","0","0","0","0","0","0","0"
"48",14240,39.8355810958904,29,15,29,1,"1","1","1","1","1","1","1","1","1","1","1"
"49",14243,40.0166336986301,23,22,23,0,"1","1","1","1","1","1","1","1","1","1","1"
"50",14268,40.308284109589,9,9,9,0,"0","0","0","0","0","0","0","0","0","0","0"
"51",14314,39.3052430136986,115,115,115,0,"1","0","1","0","0","1","1","1","1","1","1"
"52",14431,38.9768953424657,46,40,46,1,"1","1","1","1","1","1","1","1","1","1","1"
"53",14493,38.8900682191781,28,17,28,1,"1","1","1","1","1","1","1","1","1","1","1"
"54",14511,39.1412583561644,10,10,10,0,"1","1","1","1","1","1","1","1","1","1","1"
"55",14522,39.3942380821918,14,14,14,0,"1","1","1","1","0","0","0","1","1","1","1"
"56",14544,39.0737832876712,8,8,8,0,"1","1","1","0","0","1","1","1","1","1","0"
"57",14552,38.892717260274,41,25,41,1,"1","1","1","1","1","1","1","1","1","1","1"
"58",14553,39.0035597260274,40,39,40,0,"1","1","1","1","1","1","1","1","1","1","1"
"59",14617,39.3280876712329,11,11,11,0,"0","0","0","0","0","0","0","0","0","0","0"
"61",14701,38.8515142465753,58,38,58,1,"1","1","0","1","0","1","1","0","1","0","1"
"62",14702,38.9389997260274,57,49,57,1,"0","0","0","0","0","0","0","0","0","0","0"
"63",14710,39.0019091232877,24,20,24,1,"1","1","1","1","1","1","1","1","1","1","1"
"64",14712,39.5218981643836,12,12,12,0,"0","0","0","0","0","0","0","0","0","0","0"
"65",14760,39.0293057534247,11,11,11,0,"1","1","1","0","0","0","0","0","0","1","1"
"68",14848,38.5852005479452,83,20,83,1,"1","1","1","1","1","1","1","1","1","1","1"
"69",14849,38.6089390136986,81,25,81,1,"1","1","1","1","1","1","1","1","1","1","1"
"70",14855,38.7443327123288,23,11,23,1,"1","1","1","1","1","1","1","1","1","1","1"
"71",14859,38.8264129863014,18,12,18,1,"0","0","0","0","0","0","0","0","0","0","1"
"72",14877,39.3749828493151,18,18,18,0,"0","0","0","0","0","0","0","0","0","0","0"
"73",14914,39.0144677808219,15,14,15,0,"1","1","1","1","1","1","1","1","1","1","1"
"75",14936,38.49014,9,9,9,0,"0","0","0","0","0","0","0","0","0","0","0"
"76",14947,39.0196867945205,1285,227,1285,1,"1","1","1","1","1","1","1","1","1","1","1"
"77",14953,39.0858336438356,1076,144,1076,1,"1","1","1","1","1","1","1","1","1","1","1"
"78",14969,39.3316813150685,903,13,903,1,"1","1","1","1","1","1","1","1","1","1","1"
"79",14975,39.5219789041096,807,25,807,1,"1","1","1","1","1","1","1","1","1","1","1"
"80",14990,39.8450556164384,575,164,575,1,"1","1","1","1","1","1","1","1","1","1","1"
"81",14991,39.9368123287671,574,323,574,1,"1","1","1","1","1","1","1","1","1","1","1"
"82",14993,40.0497002739726,538,460,538,1,"1","1","1","1","1","1","1","1","1","1","1"
"83",15020,40.2526856164384,276,274,276,0,"1","1","1","1","1","1","1","1","1","1","1"
"84",15454,40.3939906849315,8,8,8,0,"0","0","0","0","0","0","0","0","0","0","0"
"85",15532,40.3779547945205,27,27,27,0,"0","0","0","0","0","0","0","0","0","0","0"
"86",15566,40.4464063013699,20,20,20,0,"0","0","0","0","0","0","0","0","0","0","0"
"87",15606,39.8599695890411,56,15,56,1,"1","1","1","1","1","1","1","1","1","1","1"
"88",15608,40.2721832876712,29,29,29,0,"0","0","0","0","0","0","0","0","0","0","0"
"89",15637,40.0931643835616,25,22,25,1,"1","1","1","1","1","1","1","1","1","1","1"
"90",15663,40.1368336986301,22,19,22,1,"1","1","1","1","1","1","1","1","1","1","1"
"91",15669,40.3066104109589,15,15,15,0,"1","1","1","1","1","1","1","1","1","1","1"
"92",15685,40.2091131506849,68,68,68,0,"0","0","0","0","0","0","0","0","0","0","0"
"93",15788,39.7843430136986,81,35,81,1,"0","1","0","1","0","0","1","0","1","0","1"
"94",15789,39.9226342465753,78,53,78,1,"0","0","0","0","0","0","0","0","0","0","0"
"95",15794,40.1775315068493,27,26,27,0,"0","0","0","0","0","0","0","0","0","0","0"
"96",15820,40.2066536986301,19,19,19,0,"0","0","0","0","0","0","0","0","0","0","0"
"97",15917,39.6498530958904,12,12,12,0,"0","0","0","0","0","0","0","0","0","0","0"
"98",15929,39.3477599452055,26,26,26,0,"0","1","0","1","0","0","1","0","1","1","1"
"99",15970,39.2118865205479,18,18,18,0,"1","1","1","1","1","1","1","1","1","1","1"
"100",15992,39.3621048767123,10,10,10,0,"0","0","0","0","0","0","0","0","0","0","0"
"101",16048,39.4422265205479,8,8,8,0,"0","0","0","0","0","0","0","0","0","0","0"
"102",16056,39.1535766575342,30,28,30,0,"1","1","1","1","0","1","1","1","1","1","1"
"103",16106,39.1602363835616,103,94,103,0,"1","1","1","1","1","1","1","1","1","1","1"
"107",16313,39.0604187945206,8,8,8,0,"0","0","0","0","1","0","0","0","0","0","0"
"128",17012,38.7229027375342,149,12,149,1,"1","1","1","1","1","1","1","1","1","1","1"
"129",17013,38.9429515046575,148,63,148,1,"1","1","1","1","1","1","1","1","1","1","1"
"130",17025,39.1497134224658,46,38,46,1,"1","1","1","1","1","1","1","1","1","1","1"
"131",17036,39.4614707923288,27,27,27,0,"1","1","1","1","1","1","1","1","1","1","1"
"132",17106,39.0108523265753,45,19,45,1,"1","1","1","1","1","1","1","1","1","1","1"
"133",17164,39.1774199978082,11,11,11,0,"1","1","1","1","1","1","1","1","1","1","1"
"134",17182,39.9374978060274,8,8,8,0,"0","0","0","0","0","0","0","0","0","0","0"
"135",17201,39.7232671210959,28,16,28,1,"1","1","1","1","1","1","1","1","1","1","1"
"145",17413,38.4898234520548,73,40,73,1,"0","0","0","0","0","0","0","0","0","0","0"
"146",17416,38.7529163287671,49,42,49,1,"1","1","1","1","1","1","1","1","1","1","1"
"147",17418,39.5169793424658,28,28,28,0,"0","0","0","0","0","0","0","0","0","0","0"
"150",17532,38.8667908493151,22,22,22,0,"0","0","0","0","0","0","0","0","0","0","0"
"154",17786,38.5577938356164,8,8,8,0,"0","0","0","0","0","0","0","0","0","0","0"
"174",18410,39.2867340273973,27,20,27,1,"0","0","0","1","0","0","0","0","1","0","0"
"219",19878,38.4129736438356,98,64,98,1,"0","0","0","0","1","0","0","0","0","0","1"
"220",19895,38.6576372054795,36,15,36,1,"1","1","1","1","1","1","1","1","1","1","1"
"221",19901,39.1913522739726,9,9,9,0,"0","0","0","0","0","0","0","0","0","0","0"
"222",19994,38.6548256986301,102,90,102,1,"0","0","0","0","0","0","0","0","0","0","0"
"223",20099,38.5399094520548,36,28,36,1,"0","0","0","0","0","0","0","0","0","0","0"
"224",20104,38.8607478082192,22,18,22,1,"0","0","0","0","0","0","0","0","0","0","0"
"225",20109,39.5665532876712,9,9,9,0,"0","0","0","0","0","0","0","0","0","0","0"
"228",20176,38.9878651506849,158,18,158,1,"1","1","1","1","1","1","1","1","1","1","1"
"229",20177,39.181054739726,142,56,142,1,"1","1","1","1","1","1","1","1","1","1","1"
"230",20180,39.3314281643836,116,41,116,1,"1","1","1","1","1","1","1","1","1","1","1"
"231",20183,39.9177237808219,79,14,79,1,"1","1","1","1","1","1","1","1","1","1","1"
"232",20189,39.9959772054795,72,10,72,1,"1","1","1","1","1","1","1","1","1","1","1"
"233",20197,40.1161498082192,33,19,33,1,"1","1","1","1","1","1","1","1","1","1","1"
"234",20198,40.3816793972603,27,27,27,0,"0","0","0","0","0","0","0","0","0","0","0"
"235",20270,39.8672750136986,10,10,10,0,"0","0","0","0","0","0","0","0","0","0","0"
"236",20318,39.2827363835617,16,16,16,0,"1","1","1","1","1","0","1","1","1","0","1"
"237",20336,40.3578213150685,11,11,11,0,"0","0","1","0","0","0","0","0","1","1","0"
